5 bits - opcode, 15 bits - address, 12 bits - argument
10101000000000000000000000011000 -> opcode: jmp, opcode number: 21, memory index: 0, arg: 24
10010000000000000001000000001010 -> opcode: push, opcode number: 18, memory index: 1, arg: 10
01111000000000000010000000000000 -> opcode: read, opcode number: 15, memory index: 2, arg: 0
01000000000000000011000000000000 -> opcode: dup, opcode number: 8, memory index: 3, arg: 0
10010000000000000100000000001010 -> opcode: push, opcode number: 18, memory index: 4, arg: 10
01001000000000000101000000000000 -> opcode: eq, opcode number: 9, memory index: 5, arg: 0
10110000000000000110000000001011 -> opcode: zjmp, opcode number: 22, memory index: 6, arg: 11
10010000000000000111000000000001 -> opcode: push, opcode number: 18, memory index: 7, arg: 1
10010000000000001000001000000000 -> opcode: push, opcode number: 18, memory index: 8, arg: 512
10000000000000001001000000000000 -> opcode: store, opcode number: 16, memory index: 9, arg: 0
10101000000000001010000000010110 -> opcode: jmp, opcode number: 21, memory index: 10, arg: 22
10010000000000001011001000000001 -> opcode: push, opcode number: 18, memory index: 11, arg: 513
10010000000000001100001000101010 -> opcode: push, opcode number: 18, memory index: 12, arg: 554
10001000000000001101000000000000 -> opcode: load, opcode number: 17, memory index: 13, arg: 0
00100000000000001110000000000000 -> opcode: add, opcode number: 4, memory index: 14, arg: 0
10000000000000001111000000000000 -> opcode: store, opcode number: 16, memory index: 15, arg: 0
10010000000000010000001000101010 -> opcode: push, opcode number: 18, memory index: 16, arg: 554
10001000000000010001000000000000 -> opcode: load, opcode number: 17, memory index: 17, arg: 0
10010000000000010010000000000001 -> opcode: push, opcode number: 18, memory index: 18, arg: 1
00100000000000010011000000000000 -> opcode: add, opcode number: 4, memory index: 19, arg: 0
10010000000000010100001000101010 -> opcode: push, opcode number: 18, memory index: 20, arg: 554
10000000000000010101000000000000 -> opcode: store, opcode number: 16, memory index: 21, arg: 0
01101000000000010110000000000000 -> opcode: ei, opcode number: 13, memory index: 22, arg: 0
11000000000000010111000000000000 -> opcode: ret, opcode number: 24, memory index: 23, arg: 0
10010000000000011000000000000000 -> opcode: push, opcode number: 18, memory index: 24, arg: 0
10010000000000011001001000101010 -> opcode: push, opcode number: 18, memory index: 25, arg: 554
10000000000000011010000000000000 -> opcode: store, opcode number: 16, memory index: 26, arg: 0
10010000000000011011000000000000 -> opcode: push, opcode number: 18, memory index: 27, arg: 0
10010000000000011100001000000000 -> opcode: push, opcode number: 18, memory index: 28, arg: 512
10000000000000011101000000000000 -> opcode: store, opcode number: 16, memory index: 29, arg: 0
10010000000000011110000000001011 -> opcode: push, opcode number: 18, memory index: 30, arg: 11
10100000000000011111000000000000 -> opcode: pop, opcode number: 20, memory index: 31, arg: 0
10010000000000100000000000010001 -> opcode: push, opcode number: 18, memory index: 32, arg: 17
10010000000000100001000000000000 -> opcode: push, opcode number: 18, memory index: 33, arg: 0
10000000000000100010000000000000 -> opcode: store, opcode number: 16, memory index: 34, arg: 0
10010000000000100011000001100101 -> opcode: push, opcode number: 18, memory index: 35, arg: 101
10010000000000100100000000000001 -> opcode: push, opcode number: 18, memory index: 36, arg: 1
10000000000000100101000000000000 -> opcode: store, opcode number: 16, memory index: 37, arg: 0
10010000000000100110000001101110 -> opcode: push, opcode number: 18, memory index: 38, arg: 110
10010000000000100111000000000010 -> opcode: push, opcode number: 18, memory index: 39, arg: 2
10000000000000101000000000000000 -> opcode: store, opcode number: 16, memory index: 40, arg: 0
10010000000000101001000001110100 -> opcode: push, opcode number: 18, memory index: 41, arg: 116
10010000000000101010000000000011 -> opcode: push, opcode number: 18, memory index: 42, arg: 3
10000000000000101011000000000000 -> opcode: store, opcode number: 16, memory index: 43, arg: 0
10010000000000101100000001100101 -> opcode: push, opcode number: 18, memory index: 44, arg: 101
10010000000000101101000000000100 -> opcode: push, opcode number: 18, memory index: 45, arg: 4
10000000000000101110000000000000 -> opcode: store, opcode number: 16, memory index: 46, arg: 0
10010000000000101111000001110010 -> opcode: push, opcode number: 18, memory index: 47, arg: 114
10010000000000110000000000000101 -> opcode: push, opcode number: 18, memory index: 48, arg: 5
10000000000000110001000000000000 -> opcode: store, opcode number: 16, memory index: 49, arg: 0
10010000000000110010000000100000 -> opcode: push, opcode number: 18, memory index: 50, arg: 32
10010000000000110011000000000110 -> opcode: push, opcode number: 18, memory index: 51, arg: 6
10000000000000110100000000000000 -> opcode: store, opcode number: 16, memory index: 52, arg: 0
10010000000000110101000001111001 -> opcode: push, opcode number: 18, memory index: 53, arg: 121
10010000000000110110000000000111 -> opcode: push, opcode number: 18, memory index: 54, arg: 7
10000000000000110111000000000000 -> opcode: store, opcode number: 16, memory index: 55, arg: 0
10010000000000111000000001101111 -> opcode: push, opcode number: 18, memory index: 56, arg: 111
10010000000000111001000000001000 -> opcode: push, opcode number: 18, memory index: 57, arg: 8
10000000000000111010000000000000 -> opcode: store, opcode number: 16, memory index: 58, arg: 0
10010000000000111011000001110101 -> opcode: push, opcode number: 18, memory index: 59, arg: 117
10010000000000111100000000001001 -> opcode: push, opcode number: 18, memory index: 60, arg: 9
10000000000000111101000000000000 -> opcode: store, opcode number: 16, memory index: 61, arg: 0
10010000000000111110000001110010 -> opcode: push, opcode number: 18, memory index: 62, arg: 114
10010000000000111111000000001010 -> opcode: push, opcode number: 18, memory index: 63, arg: 10
10000000000001000000000000000000 -> opcode: store, opcode number: 16, memory index: 64, arg: 0
10010000000001000001000000100000 -> opcode: push, opcode number: 18, memory index: 65, arg: 32
10010000000001000010000000001011 -> opcode: push, opcode number: 18, memory index: 66, arg: 11
10000000000001000011000000000000 -> opcode: store, opcode number: 16, memory index: 67, arg: 0
10010000000001000100000001101110 -> opcode: push, opcode number: 18, memory index: 68, arg: 110
10010000000001000101000000001100 -> opcode: push, opcode number: 18, memory index: 69, arg: 12
10000000000001000110000000000000 -> opcode: store, opcode number: 16, memory index: 70, arg: 0
10010000000001000111000001100001 -> opcode: push, opcode number: 18, memory index: 71, arg: 97
10010000000001001000000000001101 -> opcode: push, opcode number: 18, memory index: 72, arg: 13
10000000000001001001000000000000 -> opcode: store, opcode number: 16, memory index: 73, arg: 0
10010000000001001010000001101101 -> opcode: push, opcode number: 18, memory index: 74, arg: 109
10010000000001001011000000001110 -> opcode: push, opcode number: 18, memory index: 75, arg: 14
10000000000001001100000000000000 -> opcode: store, opcode number: 16, memory index: 76, arg: 0
10010000000001001101000001100101 -> opcode: push, opcode number: 18, memory index: 77, arg: 101
10010000000001001110000000001111 -> opcode: push, opcode number: 18, memory index: 78, arg: 15
10000000000001001111000000000000 -> opcode: store, opcode number: 16, memory index: 79, arg: 0
10010000000001010000000000111010 -> opcode: push, opcode number: 18, memory index: 80, arg: 58
10010000000001010001000000010000 -> opcode: push, opcode number: 18, memory index: 81, arg: 16
10000000000001010010000000000000 -> opcode: store, opcode number: 16, memory index: 82, arg: 0
10010000000001010011000000100000 -> opcode: push, opcode number: 18, memory index: 83, arg: 32
10010000000001010100000000010001 -> opcode: push, opcode number: 18, memory index: 84, arg: 17
10000000000001010101000000000000 -> opcode: store, opcode number: 16, memory index: 85, arg: 0
10010000000001010110000000000000 -> opcode: push, opcode number: 18, memory index: 86, arg: 0
10001000000001010111000000000000 -> opcode: load, opcode number: 17, memory index: 87, arg: 0
10010000000001011000000000000000 -> opcode: push, opcode number: 18, memory index: 88, arg: 0
10010000000001011001000000000001 -> opcode: push, opcode number: 18, memory index: 89, arg: 1
00100000000001011010000000000000 -> opcode: add, opcode number: 4, memory index: 90, arg: 0
00111000000001011011000000000000 -> opcode: over, opcode number: 7, memory index: 91, arg: 0
10110000000001011100000001101000 -> opcode: zjmp, opcode number: 22, memory index: 92, arg: 104
01000000000001011101000000000000 -> opcode: dup, opcode number: 8, memory index: 93, arg: 0
10001000000001011110000000000000 -> opcode: load, opcode number: 17, memory index: 94, arg: 0
10011000000001011111000000000000 -> opcode: rpop, opcode number: 19, memory index: 95, arg: 0
01000000000001100000000000000000 -> opcode: dup, opcode number: 8, memory index: 96, arg: 0
10100000000001100001000000000000 -> opcode: pop, opcode number: 20, memory index: 97, arg: 0
01110000000001100010000000000000 -> opcode: omit, opcode number: 14, memory index: 98, arg: 0
00110000000001100011000000000000 -> opcode: swap, opcode number: 6, memory index: 99, arg: 0
10010000000001100100000000000001 -> opcode: push, opcode number: 18, memory index: 100, arg: 1
00011000000001100101000000000000 -> opcode: sub, opcode number: 3, memory index: 101, arg: 0
00110000000001100110000000000000 -> opcode: swap, opcode number: 6, memory index: 102, arg: 0
10101000000001100111000001011001 -> opcode: jmp, opcode number: 21, memory index: 103, arg: 89
10010000000001101000001000000000 -> opcode: push, opcode number: 18, memory index: 104, arg: 512
10001000000001101001000000000000 -> opcode: load, opcode number: 17, memory index: 105, arg: 0
10110000000001101010000001101000 -> opcode: zjmp, opcode number: 22, memory index: 106, arg: 104
10010000000001101011000000001011 -> opcode: push, opcode number: 18, memory index: 107, arg: 11
10100000000001101100000000000000 -> opcode: pop, opcode number: 20, memory index: 108, arg: 0
10010000000001101101000000000111 -> opcode: push, opcode number: 18, memory index: 109, arg: 7
10010000000001101110000000010010 -> opcode: push, opcode number: 18, memory index: 110, arg: 18
10000000000001101111000000000000 -> opcode: store, opcode number: 16, memory index: 111, arg: 0
10010000000001110000000001101000 -> opcode: push, opcode number: 18, memory index: 112, arg: 104
10010000000001110001000000010011 -> opcode: push, opcode number: 18, memory index: 113, arg: 19
10000000000001110010000000000000 -> opcode: store, opcode number: 16, memory index: 114, arg: 0
10010000000001110011000001100101 -> opcode: push, opcode number: 18, memory index: 115, arg: 101
10010000000001110100000000010100 -> opcode: push, opcode number: 18, memory index: 116, arg: 20
10000000000001110101000000000000 -> opcode: store, opcode number: 16, memory index: 117, arg: 0
10010000000001110110000001101100 -> opcode: push, opcode number: 18, memory index: 118, arg: 108
10010000000001110111000000010101 -> opcode: push, opcode number: 18, memory index: 119, arg: 21
10000000000001111000000000000000 -> opcode: store, opcode number: 16, memory index: 120, arg: 0
10010000000001111001000001101100 -> opcode: push, opcode number: 18, memory index: 121, arg: 108
10010000000001111010000000010110 -> opcode: push, opcode number: 18, memory index: 122, arg: 22
10000000000001111011000000000000 -> opcode: store, opcode number: 16, memory index: 123, arg: 0
